"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","trial","responses","stimulus","key_press"
"87756","static/html/consent.html","html","0","87843","0.0-0.0","78874","1a","1,2,8,0,9,5,4,12,11,13,3,10,7,6","","",""
"32808","","survey-text","1","121661","0.0-1.0","78874","1a","1,2,8,0,9,5,4,12,11,13,3,10,7,6","{""Q0"":""female"",""Q1"":""25"",""Q2"":""Chinese"",""Q3"":""English"",""Q4"":""US""}","",""
"1627","static/html/instructions.html","html","2","124326","0.0-2.0","78874","1a","1,2,8,0,9,5,4,12,11,13,3,10,7,6","","",""
"-1","","single-stim","3","125832","0.0-3.0","78874","1a","1,2,8,0,9,5,4,12,11,13,3,10,7,6","","<div id='container-fixation' style='display:flex; align-items:center; justify-content:center; height:100vh'><strong>+</strong></div>","-1"
"-1000","","single-audio","4","127704","0.0-4.0","78874","1a","1,2,8,0,9,5,4,12,11,13,3,10,7,6","","static/js/jspsych/questions/12P.mp3","-1"
"-1","","single-stim","5","129210","0.0-5.0","78874","1a","1,2,8,0,9,5,4,12,11,13,3,10,7,6","","<div id='container-red'> </div>","-1"
"-1000","","single-audio","6","131491","0.0-6.0","78874","1a","1,2,8,0,9,5,4,12,11,13,3,10,7,6","","static/js/jspsych/answers/It hit an iceberg.mp3","-1"
"58997","","survey-text","7","191493","0.0-7.0","78874","1a","1,2,8,0,9,5,4,12,11,13,3,10,7,6","{""Q0"":""iceberg crush""}","",""
"-1","","single-stim","8","192999","0.0-8.0","78874","1a","1,2,8,0,9,5,4,12,11,13,3,10,7,6","","<div id='container-fixation' style='display:flex; align-items:center; justify-content:center; height:100vh'><strong>+</strong></div>","-1"
"-1000","","single-audio","9","195749","0.0-9.0","78874","1a","1,2,8,0,9,5,4,12,11,13,3,10,7,6","","static/js/jspsych/questions/30P.mp3","-1"
"-1","","single-stim","10","197253","0.0-10.0","78874","1a","1,2,8,0,9,5,4,12,11,13,3,10,7,6","","<div id='container-red'> </div>","-1"
